date,1. open,2. high,3. low,4. close,5. volume
2024-06-03 04:00:00,8.89,8.91,8.78,8.79,1656.0
2024-06-03 04:05:00,8.91,8.91,8.77,8.88,757.0
2024-06-03 04:10:00,8.88,8.93,8.79,8.92,5699.0
2024-06-03 04:15:00,8.93,8.93,8.9,8.93,1075.0
2024-06-03 04:20:00,8.92,8.93,8.9,8.92,1707.0
2024-06-03 04:25:00,8.92,8.93,8.91,8.92,1009.0
2024-06-03 04:30:00,8.92,8.93,8.9,8.9,5646.0
2024-06-03 04:35:00,8.9,8.93,8.9,8.93,5214.0
2024-06-03 04:40:00,8.93,8.95,8.91,8.94,3767.0
2024-06-03 04:45:00,8.94,8.94,8.91,8.93,1558.0
2024-06-03 04:50:00,8.93,8.95,8.92,8.94,1607.0
2024-06-03 04:55:00,8.93,8.94,8.93,8.93,918.0
2024-06-03 05:00:00,8.93,8.94,8.92,8.93,1182.0
2024-06-03 05:05:00,8.92,8.93,8.91,8.93,2767.0
2024-06-03 05:10:00,8.93,8.94,8.92,8.93,1135.0
2024-06-03 05:15:00,8.93,8.94,8.93,8.94,1295.0
2024-06-03 05:20:00,8.94,8.98,8.93,8.95,3402.0
2024-06-03 05:25:00,8.96,8.98,8.95,8.98,5593.0
2024-06-03 05:30:00,8.98,8.99,8.97,8.99,8514.0
2024-06-03 05:35:00,8.99,8.99,8.97,8.97,4025.0
2024-06-03 05:40:00,8.98,8.99,8.98,8.98,4991.0
2024-06-03 05:45:00,8.98,8.99,8.98,8.99,1052.0
2024-06-03 05:50:00,8.99,8.99,8.98,8.98,793.0
2024-06-03 05:55:00,8.98,9.0,8.97,8.98,769.0
2024-06-03 06:00:00,8.99,9.0,8.99,8.99,1294.0
2024-06-03 06:05:00,8.99,9.0,8.92,8.92,9711.0
2024-06-03 06:10:00,8.93,8.93,8.91,8.93,1497.0
2024-06-03 06:15:00,8.96,8.96,8.93,8.95,683.0
2024-06-03 06:20:00,8.95,8.96,8.94,8.95,1039.0
2024-06-03 06:25:00,8.97,8.97,8.95,8.95,2655.0
2024-06-03 06:30:00,8.95,8.97,8.95,8.95,6706.0
2024-06-03 06:35:00,8.94,8.97,8.94,8.97,640.0
2024-06-03 06:40:00,8.97,8.97,8.94,8.95,87.0
2024-06-03 06:45:00,8.95,8.97,8.94,8.94,472.0
2024-06-03 06:50:00,8.94,8.95,8.92,8.93,2038.0
2024-06-03 06:55:00,8.92,8.94,8.89,8.9,4371.0
2024-06-03 07:00:00,8.9,8.9,8.83,8.87,4901.0
2024-06-03 07:05:00,8.87,8.9,8.86,8.9,598.0
2024-06-03 07:10:00,8.86,8.87,8.83,8.84,1335.0
2024-06-03 07:15:00,8.84,8.9,8.82,8.86,938.0
2024-06-03 07:20:00,8.85,8.9,8.83,8.9,4565.0
2024-06-03 07:25:00,8.86,8.9,8.84,8.84,432.0
2024-06-03 07:30:00,8.85,8.86,8.83,8.85,4036.0
2024-06-03 07:35:00,8.85,8.86,8.84,8.86,220.0
2024-06-03 07:40:00,8.84,8.86,8.83,8.85,913.0
2024-06-03 07:45:00,8.86,8.91,8.85,8.87,1227.0
2024-06-03 07:50:00,8.87,8.87,8.85,8.86,476.0
2024-06-03 07:55:00,8.91,8.91,8.86,8.9,203.0
2024-06-03 08:00:00,8.86,8.989,8.83,8.9,41593.0
2024-06-03 08:05:00,8.89,8.95,8.85,8.91,10639.0
2024-06-03 08:10:00,8.91,8.91,8.88,8.88,777.0
2024-06-03 08:15:00,8.88,8.9,8.86,8.88,2913.0
2024-06-03 08:20:00,8.87,8.87,8.85,8.85,12585.0
2024-06-03 08:25:00,8.85,8.85,8.83,8.83,5268.0
2024-06-03 08:30:00,8.84,8.85,8.81,8.82,4634.0
2024-06-03 08:35:00,8.82,8.85,8.81,8.81,3245.0
2024-06-03 08:40:00,8.81,8.86,8.81,8.86,2534.0
2024-06-03 08:45:00,8.85,8.92,8.83,8.84,9752.0
2024-06-03 08:50:00,8.83,8.9,8.81,8.9,24179.0
2024-06-03 08:55:00,8.9,8.913,8.85,8.89,693.0
2024-06-03 09:00:00,8.89,8.9,8.84,8.88,4155.0
2024-06-03 09:05:00,8.88,8.88,8.84,8.85,3929.0
2024-06-03 09:10:00,8.85,8.85,8.8,8.81,13392.0
2024-06-03 09:15:00,8.81,8.81,8.75,8.77,15667.0
2024-06-03 09:20:00,8.77,8.77,8.75,8.77,8603.0
2024-06-03 09:25:00,8.77,8.77,8.75,8.77,3952.0
2024-06-03 09:30:00,8.77,8.94,8.77,8.94,161685.0
2024-06-03 09:35:00,8.94,9.03,8.85,8.92,146006.0
2024-06-03 09:40:00,8.938,8.99,0.13,0.13,31882.0
2024-06-03 10:40:00,9.4,9.44,8.805,8.86,1611544.0
2024-06-03 10:45:00,8.851,8.86,8.03,8.03,718076.0
2024-06-03 10:50:00,8.03,8.49,7.86,8.34,674586.0
2024-06-03 10:55:00,8.34,8.4,8.05,8.181,276946.0
2024-06-03 11:00:00,8.18,8.2,8.11,8.14,134426.0
2024-06-03 11:05:00,8.14,8.23,8.02,8.22,191600.0
2024-06-03 11:10:00,8.22,8.36,8.16,8.2,163210.0
2024-06-03 11:15:00,8.21,8.39,8.12,8.34,275063.0
2024-06-03 11:20:00,8.34,8.42,8.3,8.4,109166.0
2024-06-03 11:25:00,8.405,8.44,8.34,8.405,73730.0
2024-06-03 11:30:00,8.4,9.11,8.39,8.45,139244.0
2024-06-03 11:35:00,8.46,8.46,8.25,8.305,77388.0
2024-06-03 11:40:00,8.31,8.35,8.26,8.27,107665.0
2024-06-03 11:45:00,8.259,8.32,8.17,8.205,138479.0
2024-06-03 11:50:00,8.21,8.34,8.203,8.32,116116.0
2024-06-03 11:55:00,8.33,8.4,8.24,8.25,102696.0
2024-06-03 12:00:00,8.25,8.27,8.2,8.212,74728.0
2024-06-03 12:05:00,8.215,8.24,8.14,8.14,77445.0
2024-06-03 12:10:00,8.14,8.18,8.06,8.07,100235.0
2024-06-03 12:15:00,8.06,8.12,8.0,8.06,230205.0
2024-06-03 12:20:00,8.067,8.13,8.05,8.06,87403.0
2024-06-03 12:25:00,8.06,8.21,8.055,8.19,42154.0
2024-06-03 12:30:00,8.185,8.2,8.065,8.1,47034.0
2024-06-03 12:35:00,8.09,8.19,8.03,8.19,69257.0
2024-06-03 12:40:00,8.185,8.22,8.17,8.206,28642.0
2024-06-03 12:45:00,8.195,8.21,8.18,8.185,28774.0
2024-06-03 12:50:00,8.181,8.21,8.15,8.205,33958.0
2024-06-03 12:55:00,8.2,8.225,8.2,8.22,27169.0
2024-06-03 13:00:00,8.22,8.22,8.1,8.12,35079.0
2024-06-03 13:05:00,8.12,8.13,8.08,8.085,36064.0
2024-06-03 13:10:00,8.085,8.165,8.083,8.155,48673.0
2024-06-03 13:15:00,8.158,8.17,8.15,8.155,21978.0
2024-06-03 13:20:00,8.155,8.155,8.04,8.041,58818.0
2024-06-03 13:25:00,8.05,8.05,8.01,8.019,33479.0
2024-06-03 13:30:00,8.02,8.09,8.01,8.09,59168.0
2024-06-03 13:35:00,8.071,8.08,8.02,8.07,29048.0
2024-06-03 13:40:00,8.079,8.107,8.02,8.085,25986.0
2024-06-03 13:45:00,8.09,8.1,8.03,8.04,46476.0
2024-06-03 13:50:00,8.04,8.04,8.01,8.015,31165.0
2024-06-03 13:55:00,8.015,8.04,8.0,8.0,78915.0
2024-06-03 14:00:00,8.0,8.03,8.0,8.005,43383.0
2024-06-03 14:05:00,8.005,8.01,7.93,7.93,85215.0
2024-06-03 14:10:00,7.94,7.94,7.89,7.89,122731.0
